LH_ID,Jenis_LH,Harga_LH
1,Audit Hukum Accusamus Properti Khusus 6394,1953000
2,Banding Cupiditate Properti Khusus 141,10405000
3,Penyusunan Kontrak Recusandae Pajak Khusus 9237,8344000
4,Jasa Advokat Voluptatum Asuransi Khusus 9888,54056000
5,Audit Hukum Libero Perdata Khusus 3918,9641000
6,Konsultasi A Bisnis Khusus 6429,1591000
7,Pendampingan Mediasi Laboriosam Bisnis Khusus 7695,11782000
8,Audit Hukum Vel Lingkungan Khusus 7577,3709000
9,Gugatan Libero Internasional Khusus 2287,5138000
10,Audit Hukum Natus Properti Khusus 5205,3729000
11,Perizinan Perferendis Hak Cipta Khusus 3875,4878000
12,Perizinan Debitis Pidana Khusus 5309,4211000
13,Sengketa Rem Properti Khusus 3014,45688000
14,Audit Hukum Similique Perdata Khusus 9116,14138000
15,Pendampingan Mediasi Repellat Niaga Khusus 8339,6564000
16,Perizinan Ex Keluarga Khusus 2792,10927000
17,Jasa Advokat Amet Lingkungan Khusus 4051,15958000
18,Jasa Advokat Eveniet Hak Cipta Khusus 2153,31794000
19,Audit Hukum Quae Asuransi Khusus 6960,1904000
20,Audit Hukum Vel Pajak Khusus 7844,2444000
21,Jasa Advokat Hak Cipta,5223000
22,Gugatan Pariatur Internasional Khusus 7008,12782000
23,Gugatan At Internasional Khusus 8347,53445000
24,Banding Distinctio Pajak Khusus 3556,8781000
25,Konsultasi Cupiditate Properti Khusus 4357,1276000
26,Konsultasi Asperiores Pajak Khusus 2959,1821000
27,Sengketa Nobis Bisnis Khusus 2052,65487000
28,Konsultasi Dignissimos Asuransi Khusus 5918,849000
29,Sengketa Optio Niaga Khusus 6582,67726000
30,Perizinan Magnam Pajak Khusus 1722,2055000
31,Audit Hukum Occaecati Lingkungan Khusus 8508,3721000
32,Gugatan Mollitia Internasional Khusus 9914,33527000
33,Pendampingan Mediasi Occaecati Pidana Khusus 7061,9757000
34,Pendampingan Mediasi A Lingkungan Khusus 8569,12940000
35,Jasa Advokat Nemo Properti Khusus 6160,52664000
36,Jasa Advokat Consectetur Niaga Khusus 5780,50559000
